source	target
BRD2	GLYR1
BRD2	MAZ
BRD2	KAT8
BRD2	RBL2
BRD2	THAP11
BRD2	ZFHX3
BRD2	MBD3
BRD2	SIRT6
BRD2	SMARCA4
BRD2	BRD4
BRD2	JUND
BRD2	CEBPA
BRD2	KMT2B
BRD2	HNRNPL
BRD2	POU2F2
BRD2	TRIM28
BRD2	MNT
BRD2	CAMTA2
BRD2	C17orf49
BRD2	POLR2A
BRD2	CHD3
BRD2	SREBF1
BRD2	PCGF2
BRD2	KAT2A
BRD2	STAT3
BRD2	ETV4
BRD2	DDX5
BRD2	CBX4
BRD2	MAFG
BRD2	RAC3
BRD2	HEY1
BRD2	RUNX1T1
BRD2	KLF10
BRD2	HSF1
BRD2	FOSL2
BRD2	MTA3
BRD2	EPAS1
BRD2	XBP1
BRD2	EWSR1
BRD2	MAFF
BRD2	SREBF2
BRD2	KLF9
BRD2	PBX3
BRD2	BRD3
BRD2	RXRA
BRD2	SMAD3
BRD2	NR1H3
BRD2	RELA
BRD2	ARRB1
BRD2	NCOR2
BRD2	E2F3
BRD2	SOX4
BRD2	BRD2
BRD2	SRF
BRD2	BACH2
BRD2	HDAC2
BRD2	BACH1
BRD2	HMGN1
BRD3	MBD3
BRD3	BRD4
BRD3	JUND
BRD3	KMT2B
BRD3	POU2F2
BRD3	TRIM28
BRD3	TBL1XR1
BRD3	ELL2
BRD3	MNT
BRD3	SREBF1
BRD3	RAC3
BRD3	HCFC1
BRD3	RXRA
BRD3	TP73-AS1
BRD3	ID3
BRD3	HDAC1
BRD3	BCOR
BRD3	FOXK1
BRD3	REPIN1
BRD3	C17orf49
BRD3	POLR2A
BRD3	CHD3
BRD3	KAT2A
BRD3	MAFG
BRD3	ZMIZ1
BRD3	HMGN1
BRD3	FOSL2
BRD3	CEBPA
BRD3	HNRNPL
BRD3	PBX3
BRD3	KAT8
BRD4	XBP1
BRD4	KLF9
BRD4	SRF
BRD4	RB1
BRD4	NIPBL
BRD4	MAFK
BRD4	ZKSCAN1
BRD4	REPIN1
BRD4	SIRT6
BRD4	SMARCA4
BRD4	KMT2B
BRD4	HNRNPL
BRD4	PBX1
BRD4	ELK4
BRD4	HMGN1
BRD4	MED12
BRD4	OGT
BRD4	NR1H3
BRD4	RELA
BRD4	SMAD3
BRD4	MAZ
BRD4	KAT8
BRD4	RBL2
BRD4	MNT
BRD4	CAMTA2
BRD4	C17orf49
BRD4	POLR2A
BRD4	PCGF2
BRD4	KAT2A
BRD4	DDX5
BRD4	ZNF217
BRD4	BMI1
BRD4	POLR3A
BRD4	ZMIZ1
BRD4	MXI1
BRD4	CTBP2
BRD4	ARRB1
BRD4	NCOR2
BRD4	GLIS3
BRD4	PBX3
BRD4	BRD3
BRD4	RXRA
BRD4	XRN2
BRD4	EWSR1
BRD4	MAFF
BRD4	SREBF2
BRD4	FOSL2
BRD4	MTA3
BRD4	EPAS1
BRD4	ATF2
BRD4	HIF1A
BRD4	FOS
BRD4	RCOR1
BRD4	ZFX
BRD4	BCOR
BRD4	KDM5C
BRD4	HCFC1
BRD4	NR2C2
BRD4	SMARCC1
BRD4	TBL1XR1
BRD4	E2F3
BRD4	SOX4
BRD4	BRD2
BRD4	BACH2
BRD4	HDAC2
BRD4	ELF1
BRD4	CEBPD
BRD4	HEY1
BRD4	RUNX1T1
BRD4	KLF10
BRD4	RAD21
BRD4	HSF1
BRD4	NR2F1
BRD4	ELL2
BRD4	EGR1
BRD4	HDAC3
BRD4	EBF1
BRD4	ID3
BRD4	HDAC1
BRD4	JUN
BRD4	ARNT
BRD4	BACH1
BRD4	FOXK1
BRD4	AHR
BRD4	HBP1
BRD4	SMAD4
BRD4	MBD2
BRD4	MBD3
BRD4	BRD4
BRD4	JUND
BRD4	POU2F2
BRD4	TRIM28
BRD4	ZNF280D
BRD4	CREBBP
BRD4	GLYR1
BRD4	THAP11
BRD4	ZFHX3
BRD4	CLOCK
BRD4	CHD3
BRD4	SREBF1
BRD4	SUZ12
BRD4	CBX4
BRD4	MAFG
BRD4	RAC3
BRD4	STAT3
BRD4	PPARGC1A
BRD4	PPARG
BRD4	ETV4
BRD4	ETV1
BRD4	CEBPA
C17orf49	C17orf49
CEBPA	GLIS3
CEBPA	PBX1
CEBPA	XBP1
CEBPA	ETV1
CEBPA	PPARG
CEBPA	EBF1
CEBPA	ZNF217
CEBPA	ZKSCAN1
CEBPA	SMAD3
CEBPA	BACH2
CEBPA	SREBF1
CEBPA	CBX4
CEBPA	MAFG
CEBPA	KLF10
CEBPA	FOSL2
CEBPA	EPAS1
CEBPA	BACH1
CEBPA	PPARGC1A
CEBPA	BRD4
CEBPA	ZMIZ1
CEBPA	ELK1
CEBPA	ELL2
CEBPA	HNRNPL
CEBPA	STAT3
CEBPA	SREBF2
CEBPA	BRD3
CEBPA	ELF1
CEBPA	BCOR
CEBPA	CLOCK
CEBPA	FOS
CEBPA	ARNT
CEBPA	RXRG
CEBPA	SMARCC1
CEBPA	NR1H3
CEBPA	CEBPA
CEBPA	MAZ
CEBPA	EWSR1
CEBPA	ZNF280D
CEBPA	NCOR2
CEBPA	RBL2
CEBPA	HIF1A
CEBPA	RCOR1
CEBPA	CTBP2
CEBPA	ARRB1
CEBPA	MTA3
CEBPA	ATF2
CEBPA	MBD3
CEBPA	JUND
CEBPA	KMT2B
CEBPA	PBX3
CEBPA	HDAC1
CEBPA	MNT
CEBPA	CAMTA2
CEBPA	SUZ12
CEBPA	DDX5
CEBPA	ZFX
CEBPA	OGT
CEBPA	RAD21
CEBPA	MAFF
CEBPA	NIPBL
CEBPA	RUNX1T1
CEBPA	BMI1
CEBPA	MXI1
CEBPA	RB1
CEBPA	NR2C2
CEBPA	HBP1
CEBPA	ETV4
CEBPA	RXRA
CEBPA	ELK4
CEBPA	SMAD4
CEBPA	KAT8
CEBPA	PCGF2
CEBPD	XBP1
CEBPD	GLIS3
CEBPD	XRN2
CEBPD	ZNF217
CEBPD	MNT
CEBPD	SREBF1
CEBPD	CBX4
CEBPD	ZNF280D
CEBPD	SMAD3
CEBPD	FOSL2
CEBPD	EPAS1
CEBPD	BRD4
CEBPD	JUND
CEBPD	NCOR2
CEBPD	NR1H3
CEBPD	ELF1
CEBPD	JUN
CEBPD	STAT3
CEBPD	EWSR1
CEBPD	BCOR
CEBPD	MED12
CEBPD	ZMIZ1
CEBPD	FOS
CHD3	JUND
CLOCK	SMAD3
CLOCK	NR1H3
CLOCK	MNT
CLOCK	POLR2A
CLOCK	HIF1A
CLOCK	FOS
CLOCK	MXI1
CLOCK	CTBP2
CLOCK	NR2F1
CLOCK	HDAC3
CLOCK	SREBF2
CLOCK	KMT2B
CLOCK	HNRNPL
CLOCK	POU2F2
CLOCK	E2F3
CLOCK	BRD2
CLOCK	MAFK
CLOCK	HBP1
CREBBP	REPIN1
CREBBP	NCOR2
CREBBP	CHD3
CREBBP	FOXK1
CREBBP	ZNF217
CREBBP	ELF1
CREBBP	TBL1XR1
CREBBP	POLR2A
CREBBP	SIRT6
CREBBP	HNRNPL
CREBBP	POU2F2
CREBBP	TRIM28
CREBBP	MAZ
CREBBP	HCFC1
CREBBP	SMARCC1
CREBBP	RAD21
CREBBP	RB1
CREBBP	JUN
CREBBP	ELK4
CREBBP	POLR3A
CREBBP	MNT
CREBBP	C17orf49
CREBBP	PCGF2
CREBBP	DDX5
CREBBP	ATF2
CREBBP	FOSL2
CREBBP	MTA3
CREBBP	ZFX
CREBBP	MED12
CREBBP	OGT
CREBBP	PBX3
CREBBP	NR1H3
CREBBP	RELA
CREBBP	ZMIZ1
CREBBP	XRN2
CREBBP	HMGN1
CREBBP	XBP1
CREBBP	MAFF
CREBBP	SREBF2
CREBBP	EGR1
CREBBP	KLF10
CREBBP	RBL2
CREBBP	ZNF280D
CREBBP	SMAD3
CREBBP	ID3
CREBBP	HDAC1
CREBBP	SMARCA4
CREBBP	JUND
CREBBP	SMAD4
CREBBP	E2F3
CREBBP	SOX4
CREBBP	BRD2
CREBBP	BACH2
CREBBP	HDAC2
CREBBP	KAT2A
CREBBP	STAT3
CREBBP	CBX4
CREBBP	ZFHX3
CREBBP	BACH1
CREBBP	BRD4
CREBBP	CAMTA2
CREBBP	ETV4
CREBBP	KLF9
CREBBP	SRF
CREBBP	HEY1
CREBBP	HIF1A
CREBBP	BMI1
CREBBP	CREBBP
CREBBP	CLOCK
CTBP2	RCOR1
CTBP2	JUND
CTBP2	ZMIZ1
CTBP2	CTBP2
CTBP2	MTA3
CTBP2	SOX4
CTBP2	BACH2
CTBP2	KLF9
CTBP2	BCOR
CTBP2	SMAD3
CTBP2	NCOR2
CTBP2	MNT
CTBP2	SREBF1
CTBP2	STAT3
CTBP2	ETV4
CTBP2	CBX4
CTBP2	MAFG
CTBP2	REPIN1
CTBP2	MAZ
CTBP2	KAT8
CTBP2	ZFHX3
CTBP2	RUNX1T1
CTBP2	KLF10
CTBP2	HDAC3
CTBP2	ID3
CTBP2	HDAC1
CTBP2	JUN
CTBP2	ELK4
DDX5	SMAD3
DDX5	MBD3
DDX5	SIRT6
DDX5	SMARCA4
DDX5	BRD4
DDX5	JUND
DDX5	POU2F2
DDX5	NR1H3
DDX5	ARRB1
DDX5	NR2C2
DDX5	SMARCC1
DDX5	TBL1XR1
DDX5	MAFK
DDX5	FOXK1
DDX5	ZKSCAN1
DDX5	MED12
DDX5	XBP1
DDX5	EWSR1
DDX5	HIF1A
DDX5	FOS
DDX5	ID3
DDX5	HDAC1
DDX5	ARNT
DDX5	PBX1
DDX5	ELK4
DDX5	CREBBP
DDX5	GLYR1
DDX5	KAT8
DDX5	ZFHX3
DDX5	POLR2A
DDX5	SREBF1
DDX5	ETV4
DDX5	ELF1
DDX5	KLF9
DDX5	BRD3
DDX5	ZMIZ1
DDX5	CTBP2
DDX5	FOSL2
DDX5	EPAS1
E2F3	KMT2B
E2F3	C17orf49
E2F3	STAT3
E2F3	JUND
E2F3	HNRNPL
E2F3	NCOR2
E2F3	ID3
E2F3	SREBF2
E2F3	MAZ
E2F3	KAT8
EBF1	BMI1
EBF1	ZMIZ1
EBF1	MXI1
EBF1	ID3
EBF1	HDAC1
EBF1	JUN
EBF1	ARNT
EBF1	ELK4
EBF1	CLOCK
EBF1	HMGN1
EBF1	FOSL2
EBF1	MTA3
EBF1	EPAS1
EBF1	ATF2
EBF1	NR1H3
EBF1	ARRB1
EBF1	MBD2
EBF1	BRD2
EBF1	BACH2
EBF1	PBX3
EBF1	BRD3
EBF1	MNT
EBF1	CAMTA2
EBF1	POLR2A
EBF1	CHD3
EBF1	SREBF1
EBF1	PCGF2
EBF1	KAT2A
EBF1	STAT3
EBF1	ETV4
EBF1	CBX4
EBF1	MAFG
EBF1	HEY1
EBF1	KLF10
EBF1	RAD21
EBF1	HSF1
EBF1	ELL2
EBF1	EGR1
EBF1	FOXK1
EBF1	HBP1
EBF1	REPIN1
EBF1	ELF1
EBF1	RB1
EBF1	FOS
EBF1	RCOR1
EBF1	ZFX
EBF1	BCOR
EBF1	ELK1
EBF1	KDM5C
EBF1	OGT
EBF1	HCFC1
EBF1	XBP1
EBF1	EWSR1
EBF1	MAFF
EBF1	SREBF2
EBF1	SIRT6
EBF1	SMARCA4
EBF1	BRD4
EBF1	JUND
EBF1	HNRNPL
EBF1	POU2F2
EBF1	TRIM28
EBF1	GLYR1
EBF1	MAZ
EBF1	KAT8
EBF1	THAP11
EBF1	ZFHX3
EBF1	NCOR2
EBF1	SMAD3
EBF1	NR2C2
EBF1	SMARCC1
EBF1	TBL1XR1
EGR1	EPAS1
EGR1	ID3
EGR1	HDAC1
EGR1	ELK4
EGR1	BCOR
EGR1	KDM5C
EGR1	HCFC1
EGR1	MAZ
EGR1	ZMIZ1
EGR1	NCOR2
EGR1	KLF9
EGR1	ZNF217
EGR1	RELA
EGR1	ELL2
EGR1	EGR1
EGR1	HDAC3
EGR1	FOS
EGR1	RCOR1
EGR1	FOXK1
EGR1	MNT
EGR1	PCGF2
EGR1	ETV4
EGR1	CBX4
EGR1	RAC3
EGR1	JUND
EGR1	CEBPA
EGR1	TRIM28
EGR1	MAFF
EGR1	SREBF2
EGR1	SMAD3
EGR1	EWSR1
EGR1	KAT8
EGR1	JUN
EGR1	CHD3
EGR1	SREBF1
EGR1	KAT2A
EGR1	STAT3
EGR1	MAFG
EGR1	POU2F2
EGR1	MAFK
EGR1	REPIN1
EGR1	MED12
EGR1	RXRA
EGR1	CTBP2
EGR1	ARRB1
ELF1	SMAD3
ELF1	KLF9
ELF1	SMARCA4
ELF1	JUND
ELF1	HNRNPL
ELF1	POU2F2
ELF1	GLYR1
ELF1	KAT8
ELF1	KLF10
ELF1	HSF1
ELF1	MAFK
ELF1	BRD2
ELF1	HDAC2
ELF1	HCFC1
ELF1	NCOR2
ELF1	MAFF
ELF1	ID3
ELF1	JUN
ELF1	FOS
ELF1	HDAC3
ELF1	NR1H3
ELF1	ARRB1
ELF1	MNT
ELF1	POLR2A
ELF1	SREBF1
ELF1	KAT2A
ELF1	CBX4
ELF1	MAFG
ELK1	FOS
ELK1	JUN
ELK1	SMARCA4
ELK1	NR1H3
ELK1	HNRNPL
ELK1	POLR3A
ELK4	FOS
ELK4	HCFC1
ELK4	EGR1
ELK4	JUN
ELK4	MAFK
ELK4	POLR3A
ELK4	POLR2A
ELK4	SIRT6
ELK4	SMARCA4
ELL2	HNRNPL
ELL2	EGR1
EPAS1	SMAD3
EPAS1	KLF10
EPAS1	FOSL2
EPAS1	NCOR2
EPAS1	MXI1
EPAS1	ZNF217
EPAS1	MAFF
EPAS1	ZMIZ1
EPAS1	MNT
EPAS1	JUN
ETV1	MBD2
ETV1	NCOR2
ETV1	MAFK
ETV1	ETV1
ETV1	ZKSCAN1
ETV1	HDAC3
ETV1	MAFF
ETV1	SREBF2
ETV1	KLF10
ETV1	HSF1
ETV1	NR1H3
ETV1	SMARCA4
ETV1	BRD4
ETV1	HNRNPL
ETV1	TRIM28
ETV1	NR2C2
ETV1	POLR3A
ETV1	CTBP2
ETV1	ID3
ETV1	HDAC1
ETV1	JUN
ETV1	ELK4
ETV1	BCOR
ETV1	KDM5C
ETV1	HCFC1
ETV1	MNT
ETV1	CAMTA2
ETV1	POLR2A
ETV1	SREBF1
ETV1	PCGF2
ETV1	CBX4
ETV1	MAFG
ETV1	RAC3
ETV1	ZFHX3
ETV1	REPIN1
ETV1	ARRB1
ETV1	KLF9
ETV1	JUND
ETV4	KLF10
FOS	MNT
FOS	CAMTA2
FOS	STAT3
FOS	MAFG
FOS	RAC3
FOS	SIRT6
FOS	JUND
FOS	KLF9
FOS	RCOR1
FOS	SREBF2
FOS	BRD2
FOS	SRF
FOS	MXI1
FOS	HDAC1
FOS	PBX1
FOS	GLYR1
FOS	KAT8
FOS	MAFK
FOS	HBP1
FOS	GLIS3
FOS	RXRA
FOS	FOSL2
FOS	EPAS1
FOS	HDAC2
FOS	ELF1
FOS	BACH1
FOS	REPIN1
FOS	NR1H3
FOS	ZNF280D
FOS	BRD4
FOS	POU2F2
FOS	RB1
FOS	BACH2
FOS	FOXK1
FOS	ZKSCAN1
FOS	HDAC3
FOS	ZMIZ1
FOS	KDM5C
FOS	OGT
FOS	ELK4
FOS	MBD2
FOS	MAFF
FOS	CLOCK
FOS	SMARCA4
FOS	TRIM28
FOSL2	ELF1
FOSL2	FOSL2
FOSL2	MAFK
FOSL2	FOXK1
FOSL2	HBP1
FOSL2	REPIN1
FOSL2	ZNF280D
FOSL2	HDAC3
FOSL2	ELK4
FOSL2	MNT
FOSL2	CAMTA2
FOSL2	STAT3
FOSL2	ETV4
FOSL2	MAFG
FOSL2	SMARCA4
FOSL2	BRD4
FOSL2	JUND
FOSL2	HNRNPL
FOSL2	KAT8
FOSL2	RCOR1
FOSL2	GLIS3
FOSL2	KLF9
FOSL2	EWSR1
FOSL2	MAFF
FOSL2	BACH1
FOSL2	NR1H3
FOSL2	BACH2
FOSL2	ID3
FOSL2	HDAC1
FOSL2	POU2F2
FOSL2	OGT
FOSL2	SRF
FOXA1	RELA
FOXA1	KLF9
FOXA1	ZFX
FOXA1	MAFK
FOXA1	ZMIZ1
FOXA1	CTBP2
FOXA1	CREBBP
FOXA1	MAZ
FOXA1	BACH2
FOXA1	BACH1
FOXA1	XBP1
FOXA1	EWSR1
FOXA1	SREBF2
FOXA1	SMAD4
FOXA1	NR1H3
FOXA1	ARRB1
FOXA1	ZNF217
FOXA1	PPARGC1A
FOXA1	GLIS3
FOXA1	PBX3
FOXA1	BRD3
FOXA1	RXRA
FOXA1	NIPBL
FOXA1	ELL2
FOXA1	EBF1
FOXA1	MNT
FOXA1	CHD3
FOXA1	SREBF1
FOXA1	KAT2A
FOXA1	STAT3
FOXA1	ETV4
FOXA1	DDX5
FOXA1	CBX4
FOXA1	FOXK1
FOXA1	ETV1
FOXA1	AHR
FOXA1	ZKSCAN1
FOXA1	HBP1
FOXA1	REPIN1
FOXA1	ELF1
FOXA1	ZNF280D
FOXA1	SMAD3
FOXA1	E2F3
FOXA1	SOX4
FOXA1	BRD2
FOXA1	SRF
FOXA1	BCOR
FOXA1	KDM5C
FOXA1	OGT
FOXA1	MTA3
FOXA1	EPAS1
FOXA1	ATF2
FOXA1	NCOR2
FOXA1	CEBPD
FOXA1	RUNX1T1
FOXA1	RAD21
FOXA1	HSF1
FOXA1	HIF1A
FOXA1	RCOR1
FOXA1	BMI1
FOXA1	MXI1
FOXA1	SMARCC1
FOXA1	TBL1XR1
FOXA1	HDAC1
FOXA1	ARNT
FOXA1	PBX1
FOXA1	ELK4
FOXA1	BRD4
FOXA1	CEBPA
FOXA1	HNRNPL
FOXA1	GLYR1
FOXA1	KAT8
FOXA1	RBL2
FOXA1	ZFHX3
FOXA1	ID3
FOXA1	JUN
FOXA1	SUZ12
FOXA1	PCGF2
FOXA1	SIRT6
FOXA1	POLR3A
FOXA1	FOS
FOXA1	MAFF
FOXA1	CLOCK
FOXA1	KLF10
FOXA1	PPARG
FOXA1	NR2C2
FOXA1	FOSL2
FOXA1	XRN2
FOXA1	MBD2
FOXA1	HDAC2
FOXA1	POLR2A
FOXA1	RB1
FOXA1	JUND
FOXA1	CAMTA2
FOXK1	BACH1
GLYR1	GLYR1
EWSR1	EWSR1
EWSR1	KLF10
EWSR1	NCOR2
EWSR1	MBD3
EWSR1	SIRT6
EWSR1	BRD4
EWSR1	TRIM28
EWSR1	NR1H3
EWSR1	BCOR
EWSR1	HCFC1
EWSR1	ID3
EWSR1	CHD3
EWSR1	SREBF1
EWSR1	BACH2
EWSR1	FOXK1
EWSR1	ZKSCAN1
EWSR1	REPIN1
EWSR1	KLF9
EWSR1	MAZ
EWSR1	HDAC1
EWSR1	JUN
EWSR1	ELK4
EWSR1	JUND
EWSR1	RCOR1
EWSR1	POLR3A
EWSR1	ZMIZ1
EWSR1	C17orf49
EWSR1	POLR2A
EWSR1	STAT3
EWSR1	FOSL2
EWSR1	ZFHX3
EWSR1	HMGN1
EWSR1	ARRB1
EWSR1	MAFK
HCFC1	NCOR2
HCFC1	SRF
HCFC1	KLF10
HCFC1	HSF1
HCFC1	MNT
HCFC1	CHD3
HCFC1	SREBF1
HCFC1	KAT2A
HCFC1	STAT3
HCFC1	ETV4
HCFC1	CBX4
HCFC1	MAFG
HCFC1	RAC3
HCFC1	ELK4
HCFC1	ZNF217
HCFC1	SREBF2
HCFC1	BCOR
HCFC1	HCFC1
HCFC1	NR1H3
HCFC1	EGR1
HCFC1	HDAC3
HCFC1	SMARCC1
HCFC1	PBX3
HCFC1	RXRA
HCFC1	SIRT6
HCFC1	SMARCA4
HCFC1	JUND
HCFC1	KMT2B
HCFC1	HNRNPL
HCFC1	TRIM28
HCFC1	CTBP2
HCFC1	GLYR1
HCFC1	KAT8
HCFC1	THAP11
HCFC1	FOSL2
HCFC1	ARRB1
HCFC1	POLR2A
HCFC1	ID3
HCFC1	JUN
HDAC1	XRN2
HDAC1	NCOR2
HDAC1	BRD2
HDAC1	ELK4
HDAC1	MNT
HDAC1	CAMTA2
HDAC1	DDX5
HDAC1	FOSL2
HDAC1	EGR1
HDAC1	FOXA1
HDAC1	FOS
HDAC1	MAFK
HDAC1	AHR
HDAC1	HBP1
HDAC1	REPIN1
HDAC1	CEBPD
HDAC1	KLF10
HDAC1	HSF1
HDAC1	NR2C2
HDAC1	TBL1XR1
HDAC1	POLR2A
HDAC1	SUZ12
HDAC1	PCGF2
HDAC1	KAT2A
HDAC1	STAT3
HDAC1	MAFG
HDAC1	HDAC3
HDAC1	BCOR
HDAC1	MED12
HDAC1	HCFC1
HDAC1	BACH1
HDAC1	HMGN1
HDAC1	CLOCK
HDAC1	ZNF217
HDAC1	GLYR1
HDAC1	MAZ
HDAC1	KAT8
HDAC1	RBL2
HDAC1	THAP11
HDAC1	ID3
HDAC1	HDAC1
HDAC1	JUN
HDAC1	RB1
HDAC1	SOX4
HDAC1	SRF
HDAC1	HDAC2
HDAC1	KLF9
HDAC1	NR1H3
HDAC1	RELA
HDAC1	ARRB1
HDAC1	ZNF280D
HDAC1	SMAD3
HDAC1	BMI1
HDAC1	POLR3A
HDAC1	ZMIZ1
HDAC1	MXI1
HDAC1	CTBP2
HDAC1	XBP1
HDAC1	MAFF
HDAC1	SIRT6
HDAC1	KMT2B
HDAC1	POU2F2
HDAC1	TRIM28
HDAC1	SMAD4
HDAC1	MBD2
HDAC1	MTA3
HDAC1	EPAS1
