source	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
CS	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
WAPL	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
VMP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SEZ6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
BICRA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL18	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
U2AF2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
EPN1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MED29	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ZNF275	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GPC1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RNF4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TM7SF3	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
NGFR	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CDON	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIPK2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPAR2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CTSA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
SUGP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ABCA7	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKS1A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
