Row Names	20180205_04_S171849_1186	20180205_23_S171850_1187	20180205_25_S171851_1188	20180205_07_S171854_1191	20180205_08_S171853_1190	20180205_32_S171852_1189	20180205_03_S171856_1193	20180205_39_S171857_1194	20180205_49_S171855_1192	20180205_43_S171859_1196	20180205_45_S171858_1195	20180205_53_S171860_1197	20180205_28_S171862_1199	20180205_29_S171861_1198	20180205_37_S171863_1200	20180205_09_S171864_1201	20180205_13_S171865_1202	20180205_15_S171866_1203	20180205_16_S171868_1205	20180205_55_S171869_1206	20180205_57_S171867_1204	20180205_41_S171872_1209	20180205_48_S171870_1207	20180205_56_S171871_1208	20180205_12_S171875_1212	20180205_20_S171873_1210	20180205_35_S171874_1211	20180205_05_S171878_1215	20180205_27_S171876_1213	20180205_47_S171877_1214	20180205_17_S171881_1218	20180205_24_S171880_1217	20180205_36_S171879_1216	20180205_11_S171884_1221	20180205_21_S171883_1220	20180205_52_S171882_1219	20180205_19_S171885_1222	20180205_40_S171887_1224	20180205_44_S171886_1223	20180205_31_S171889_1226	20180205_33_S171888_1225	20180205_51_S171890_1227
sp|P02656|APOC3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	8731.424	21077.457	22102.68	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3790.9348	885.52454	656.416	17419.152	18794.39	22359.98	NaN	NaN	NaN	NaN	NaN	NaN	11035.067	12301.785	11446.05	NaN	NaN	NaN	2620.3447	110.639046	10599.759	17837.785	18397.086	12150.961
sp|P02671|FIBA_HUMAN	33719.375	141670.9	74338.58	78074.484	80839.39	74908.164	67437.91	106944.42	113753.61	117294.91	113099.375	95302.766	56893.92	55265.83	57017.594	51872.504	53521.406	34796.07	91870.16	95525.51	87047.45	108041.92	192239.56	137372.67	68539.79	66582.03	70811.72	38913.305	83826.16	58146.535	67282.12	59851.6	77371.3	33989.434	66871.17	57099.023	46834.945	41302.91	50781.95	54831.36	72505.84	54483.195
sp|P02675|FIBB_HUMAN	3565.799	54337.547	30309.488	29527.57	38680.945	37306.746	12779.132	44328.875	52006.78	43138.125	46309.83	40391.758	34590.87	31853.16	37809.734	18242.086	19283.242	17801.47	36350.527	36100.71	33942.848	49109.47	73085.78	55538.125	27194.586	34093.297	33795.312	7459.777	32866.906	30420.732	19115.594	27436.922	28799.156	8109.2417	29535.209	21700.057	11542.918	17710.633	14022.958	31831.73	35720.684	22743.693
sp|P02679|FIBG_HUMAN	32758.48	97216.42	52870.56	56539.55	60152.07	90237.53	45820.844	70912.74	114970.91	97844.47	108852.58	95328.766	48066.305	59699.07	59737.004	51392.137	56597.906	38903.516	70759.41	73649.67	72122.46	102561.375	122040.84	122393.15	42411.055	47294.562	62422.47	13076.291	63476.164	50057.86	47254.69	57313.1	57345.895	19262.645	51173.6	36095.34	16614.678	25697.59	21566.871	73257.586	70255.76	45932.9
sp|P02741|CRP_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5449.962	7177.3	3340.3203	8944.195	14835.399	9012.746	17402.947	11793.949	16316.861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3870.1604	4195.3887	3070.3083
sp|P02743|SAMP_HUMAN	2468.5588	1399.0898	1159.8097	3458.6575	3528.4558	11194.253	2995.918	607.9291	427.648	2119.313	1472.584	1397.2234	2059.2676	1767.5968	1925.4199	913.7269	1733.4219	913.49866	1257.0132	2281.1365	1464.7957	2156.1453	2685.1204	3023.6929	6122.7354	6034.664	7030.542	2016.5405	4169.2837	6784.733	1973.5425	1795.9031	3198.6724	NaN	NaN	NaN	721.7013	932.2213	2663.6392	1564.2269	1395.1704	885.52954
sp|P02749|APOH_HUMAN	6536.302	8487.573	4384.2534	518.5541	468.28235	3319.3184	615.2606	2269.7507	4200.896	5068.9434	4271.827	5407.3833	6725.04	6178.909	6483.962	5995.6733	8668.186	4098.7954	13669.026	18626.473	14252.846	19091.785	10828.565	16125.7295	1490.3575	4330.6997	5338.4893	70.891754	3754.8896	3259.4146	1815.2427	2839.2595	2954.5623	NaN	NaN	NaN	1641.2218	900.29095	1751.5256	12243.967	10658.295	16736.04
sp|P02750|A2GL_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1682.6368	1834.4319	1902.2727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P02751|FINC_HUMAN	25533.969	54268.55	35706.5	18742.527	27568.15	29195.094	14815.793	31711.67	34168.125	40095.04	42359.438	34706.82	21376.668	12782.516	17400.453	5911.529	4424.0522	4226.366	13120.961	12391.742	9587.666	8343.812	18097.71	10936.255	17564.84	20152.932	17106.719	16364.067	25272.857	21360.605	25894.375	22929.926	30273.84	4155.75	19853.672	9255.514	10804.399	5681.9087	21679.54	10996.012	14154.076	6736.71
sp|P02753|RET4_HUMAN	4477.955	13865.896	6467.424	10516.162	13652.377	9070.519	24885.77	16175.755	16285.355	20295.46	17196.229	14885.73	23308.334	12346.717	18015.281	14559.049	18995.805	9925.325	16667.232	40395.09	19629.824	23814.44	23634.012	22677.996	5072.52	10943.708	10136.995	9640.877	15784.053	19400.854	9001.086	11392.914	12808.89	8713.626	4857.1436	9076.247	11798.88	8691.043	9780.924	18469.506	14993.529	16487.227
sp|P02760|AMBP_HUMAN	3972.141	1663.5808	586.0238	3312.7192	3289.4314	446.62784	692.32935	834.4258	1367.6832	4956.1	4427.333	3489.8857	2029.7262	2285.6174	3175.2747	2490.056	4136.245	2386.9812	3130.5405	8711.019	6917.946	14296.636	14480.592	11113.776	720.7947	367.4648	613.6029	2909.0107	4685.019	3383.5266	299.5809	708.9529	941.46765	NaN	NaN	NaN	1018.63074	2467.1052	847.2859	4984.428	4202.975	5346.702
sp|P02763|A1AG1_HUMAN	3745.5586	7032.6807	7048.1357	2694.8237	2430.9148	5892.1436	1242.622	7812.895	5693.1626	10072.186	11681.424	13734.343	8814.01	8862.24	10804.49	2875.2524	2419.915	660.1592	8034.447	13802.791	10426.324	26472.137	28090.508	25433.062	1708.598	4536.3	7525.038	1027.1174	3452.8274	4519.8823	6725.743	7044.5327	6422.4443	1432.4727	4124.472	6618.4365	4167.0713	1016.8253	7560.821	9052.339	8849.269	9178.043
sp|P02765|FETUA_HUMAN	3105.482	4737.176	2786.1074	NaN	NaN	NaN	1201.1626	2215.688	3109.5186	4120.5303	2310.691	2748.2822	7303.0186	4114.4897	4942.785	7102.8867	7027.369	5025.828	7777.1606	8545.672	8083.326	20459.957	17843.682	15050.918	2.735393	1248.0632	1550.7106	909.0581	1555.0198	1579.4065	2270.7534	2174.2524	2481.2683	NaN	NaN	NaN	4698.2705	4874.3027	4343.171	8409.215	11131.563	10191.17
sp|P02768|ALBU_HUMAN	629820.75	1934991.8	1778665.4	1043622.75	1217751.0	3542043.0	91846.28	1454204.2	1138969.4	1686432.0	1646475.2	2343573.8	1509036.9	1927414.6	1464028.9	794225.7	1022484.75	1037657.56	741091.6	2152063.5	2615775.8	484558.16	455994.5	439231.16	939139.2	1925046.1	2488858.8	726764.75	3181683.8	3760751.0	1853907.0	1765503.5	2060430.2	1288825.0	2678825.0	1499992.0	1393397.1	1364001.6	1999619.5	2565701.5	846770.75	1679718.9
sp|P02774|VTDB_HUMAN	1838.5483	4588.786	3745.103	1629.3516	1595.4934	86.25709	1168.745	18.926132	41.166073	3352.0527	2369.1646	2682.5674	4902.915	3561.5894	3453.362	4139.881	4841.206	3955.6765	7889.4575	14476.008	9833.772	15643.701	12970.03	11948.051	872.7027	2325.0198	1817.5332	1183.8843	541.2472	528.0545	1127.7324	1771.259	1545.5193	1224.2217	2840.632	2374.298	3848.2666	4530.2656	3552.5488	8907.094	8208.711	9163.481
sp|P02786|TFR1_HUMAN	1786.7388	992.3171	987.79016	481.85425	397.0281	2288.9216	3549.425	3884.0479	5519.677	5877.222	4863.658	4304.577	6930.6895	5247.629	7116.7812	NaN	NaN	NaN	974.62354	3010.2705	1977.1022	2916.3984	2121.186	2086.8584	2661.2039	3706.936	3534.7898	2925.0537	3654.8232	2446.8997	3165.3906	3310.0298	6374.278	2727.791	6541.476	3707.091	NaN	NaN	NaN	2684.356	2969.9028	2686.9434
sp|P02787|TRFE_HUMAN	26826.0	40543.555	39911.047	33778.977	50092.137	25993.207	26689.33	48453.68	37855.418	53282.887	42707.438	59677.25	74285.81	55104.695	52889.38	55000.28	52222.965	51933.54	62729.96	74913.99	82686.58	63773.164	49562.47	52590.7	41747.89	42823.43	46391.367	29128.766	50542.004	51979.953	57771.95	56648.023	56993.496	53610.21	53889.902	46735.703	59923.617	62375.19	52754.64	67148.48	42185.555	57772.047
