Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|Q02750|MP2K1_HUMAN	NaN	NaN	NaN	9.392264	9.293983	10.136251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q02790|FKBP4_HUMAN	12.713337	12.580492	12.591135	10.647956	10.57168	10.432297	NaN	10.297501	10.461392	11.795523	12.39712	11.947971	NaN	NaN	NaN	12.127581	12.186006	12.277802	8.903526	8.1174965	9.202689
sp|Q02818|NUCB1_HUMAN	10.174677	10.09717	9.211758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.693929	1.1351705	9.241458	10.49351	10.724137	10.660634
sp|Q02878|RL6_HUMAN	15.687492	15.892274	15.531815	14.556826	14.347309	14.233961	13.816555	15.167784	14.917537	14.627982	14.12982	13.995121	13.842024	13.325864	13.615903	15.033888	14.922791	14.939579	14.015604	13.885796	14.140311
sp|Q02928|CP4AB_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.798666	9.381112	7.594454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q02928|CP4AB_HUMAN : sp|Q5TCH4|CP4AM_HUMAN	9.997992	5.1896276	9.467286	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q03154|ACY1_HUMAN	13.6382065	13.318424	13.786008	14.724969	14.677637	14.650625	14.845238	13.680683	13.6086445	14.223998	14.268774	13.453866	15.941638	15.849827	15.662602	14.809706	13.973291	14.713915	15.53936	15.846287	15.964079
sp|Q03591|FHR1_HUMAN	NaN	NaN	NaN	11.053327	9.552821	9.254921	10.948566	10.193524	10.603916	NaN	NaN	NaN	NaN	NaN	NaN	11.960289	11.223723	12.14312	NaN	NaN	NaN
sp|Q04446|GLGB_HUMAN	14.632394	14.341702	14.426576	13.391926	17.045624	13.549382	13.9860735	13.668267	13.946685	13.575495	13.384601	13.747552	13.131542	13.033578	13.212133	13.635706	12.291923	13.609649	14.288112	13.294971	14.080713
sp|Q04637|IF4G1_HUMAN	11.685591	11.987086	11.959799	10.760705	10.678842	10.37796	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.290275	12.782924	11.470593	NaN	NaN	NaN
sp|Q04695|K1C17_HUMAN	15.385646	16.513554	15.455138	NaN	NaN	NaN	11.054711	12.850092	8.838503	7.3670406	12.635981	11.406006	NaN	NaN	NaN	10.335054	7.275011	13.319211	NaN	NaN	NaN
sp|Q04760|LGUL_HUMAN	NaN	NaN	NaN	12.235556	11.978198	12.010858	NaN	NaN	NaN	NaN	NaN	NaN	14.03578	14.001772	13.847695	12.867436	11.926338	13.013086	13.566295	13.838718	13.776247
sp|Q04828|AK1C1_HUMAN	14.95152	14.775983	15.458754	16.68672	15.115415	14.086614	14.807909	14.124357	16.337084	15.4473505	15.405401	15.567108	13.636647	13.65134	13.520893	15.220735	14.420818	15.2795315	15.110327	14.94146	15.33869
sp|Q04837|SSBP_HUMAN	13.817197	13.525054	13.519743	13.675026	13.476954	13.94992	14.320397	14.0363455	13.90742	11.787578	12.221408	11.673583	12.399844	12.247069	12.428947	13.987468	14.0641365	14.270264	15.058389	15.189981	15.051982
sp|Q04917|1433F_HUMAN	12.8995285	12.8141775	12.340423	12.705912	12.72404	13.262772	12.46143	11.702804	11.548493	NaN	NaN	NaN	11.681704	11.84657	11.897535	11.51113	12.964777	12.038666	12.4673395	12.492397	12.379332
sp|Q05639|EF1A2_HUMAN	11.047337	11.171332	10.368124	11.315971	10.866768	9.870849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.009801	11.393023	11.371792
sp|Q05682|CALD1_HUMAN	NaN	NaN	NaN	13.2647085	12.833162	12.468696	13.386785	11.963687	12.982822	12.333395	12.172455	12.50647	12.70051	12.536951	12.499555	12.325756	12.19907	12.466917	13.140199	13.357099	13.419189
sp|Q06124|PTN11_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.950424	12.364048	12.08956
sp|Q06210|GFPT1_HUMAN	12.291097	12.084686	12.183652	NaN	NaN	NaN	12.953961	11.774966	11.408647	11.230086	10.244731	11.346054	NaN	NaN	NaN	NaN	NaN	NaN	12.908515	11.711976	13.350469
sp|Q06278|AOXA_HUMAN	13.375278	12.802239	13.447307	10.660917	11.21991	11.222507	14.788929	13.772841	14.2892475	11.777133	11.61586	12.247049	12.4554405	12.220218	12.491423	12.507146	11.9290905	12.5596285	14.37244	13.730617	14.240159
sp|Q06323|PSME1_HUMAN	NaN	NaN	NaN	10.697373	11.561605	10.923329	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.862116	12.203815	12.07858	NaN	NaN	NaN
sp|Q06520|ST2A1_HUMAN	14.947546	14.493684	14.993985	15.049384	15.186278	14.988674	17.411926	15.753411	15.421934	16.200518	16.28343	15.113976	16.838882	16.739222	16.670979	16.640787	15.463974	16.639236	16.84075	16.796963	16.748959
