Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P11310|ACADM_HUMAN	15.32023	14.924685	14.521961	14.756872	14.863552	15.6699095	15.588795	14.471871	14.014067	14.498241	14.378891	13.214284	15.095789	15.083328	15.3184805	14.210692	14.072741	14.302372	15.297104	15.244978	15.4677305
sp|P11413|G6PD_HUMAN	13.24639	13.231489	12.794914	14.205223	13.8564825	14.415805	11.366043	13.01337	13.687452	14.2733755	13.922434	13.403332	12.9933195	12.940311	12.897063	12.35445	14.313967	12.623955	NaN	NaN	NaN
sp|P11498|PYC_HUMAN	15.962029	15.800998	15.162363	15.800316	15.544319	16.360321	16.476141	16.09767	16.696024	15.374074	15.475899	15.005021	15.708993	15.679196	15.837729	15.81032	15.291456	15.912132	16.451351	16.348774	16.268429
sp|P11509|CP2A6_HUMAN	10.47535	1.7788516	10.237999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P11586|C1TC_HUMAN	14.225191	14.535807	13.419158	14.181383	13.902321	14.589183	14.105392	14.109346	14.481445	14.457358	14.122362	14.151173	14.334896	14.523047	14.197818	14.081898	13.903997	13.804541	14.036002	13.997553	14.396936
sp|P11712|CP2C9_HUMAN	12.774926	11.248226	12.049165	NaN	NaN	NaN	NaN	NaN	NaN	8.498142	7.767078	8.509887	NaN	NaN	NaN	9.720681	10.894066	9.971694	NaN	NaN	NaN
sp|P11766|ADHX_HUMAN	13.477917	13.281268	13.031986	13.173239	12.884377	13.488654	12.547316	12.279782	12.351425	NaN	NaN	NaN	12.108285	12.008422	12.0682535	12.974947	12.1568575	12.766481	14.463579	14.352221	14.410515
sp|P11940|PABP1_HUMAN	14.447449	14.809734	14.216199	15.148929	14.966491	15.836151	13.462398	14.548821	14.717157	13.333143	13.161461	12.74932	11.817011	11.496201	11.858832	13.219891	14.2185545	13.266245	12.806209	12.977616	13.412106
sp|P12235|ADT1_HUMAN : sp|P12236|ADT3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.153467	10.391762	10.838263	NaN	NaN	NaN	NaN	NaN	NaN
sp|P12236|ADT3_HUMAN	11.225726	9.146558	10.43576	9.57874	10.667565	11.058729	10.610566	10.678947	10.532066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P12268|IMDH2_HUMAN	11.29833	13.547939	11.1048	11.538074	11.819002	12.42554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.517392	12.396648	11.114617	10.060354	10.180751	9.748809
sp|P12532|KCRU_HUMAN	14.449804	14.124361	14.245998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P12694|ODBA_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	12.367132	12.130997	12.86895	10.58297	10.497087	9.824236	NaN	NaN	NaN	11.486821	12.000903	11.322298	NaN	NaN	NaN
sp|P12814|ACTN1_HUMAN	12.945675	12.987445	12.697259	13.584529	13.842376	13.895848	13.448523	14.339101	14.576178	13.340403	13.085782	13.786924	13.178675	13.254299	13.077755	12.975665	13.606381	13.062565	13.898488	13.654186	13.896614
sp|P12955|PEPD_HUMAN	11.990961	11.797276	11.923019	11.262958	11.933465	13.403964	13.235842	12.723866	12.582038	13.256984	12.96964	12.6878195	12.736951	12.690207	12.701979	11.787339	12.951889	11.98499	12.2652	12.392519	12.927701
sp|P12956|XRCC6_HUMAN	9.761261	10.166825	9.433957	11.087349	10.901781	11.624855	NaN	NaN	NaN	12.764121	12.397163	12.700328	NaN	NaN	NaN	11.5912485	11.874339	10.960235	NaN	NaN	NaN
sp|P13010|XRCC5_HUMAN	12.359764	12.061811	11.63044	12.202216	12.185122	12.7972355	11.142925	12.345141	12.87444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P13073|COX41_HUMAN	14.639448	13.866515	13.871497	14.163393	14.291812	14.663216	13.495854	12.369405	12.117801	13.828524	13.522065	12.99398	11.984577	11.629415	11.962469	14.010716	14.794096	13.64661	13.442725	13.290195	13.427229
sp|P13489|RINI_HUMAN	NaN	NaN	NaN	13.160078	12.974844	13.108527	12.474485	12.791194	12.188658	12.223074	11.891727	10.312509	NaN	NaN	NaN	NaN	NaN	NaN	12.5718155	12.696999	12.13019
sp|P13639|EF2_HUMAN	16.909576	16.863924	16.28653	16.650703	16.178505	16.946154	14.464103	16.019312	16.50967	15.891856	15.451774	14.898639	14.719844	14.849925	14.7769165	14.880716	16.44125	14.91834	14.6634245	14.160426	14.54994
sp|P13640|MT1G_HUMAN	10.346188	9.54019	NaN	8.826646	11.170835	NaN	14.827908	9.196302	14.010827	12.743315	13.653383	12.623873	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P13645|K1C10_HUMAN	16.946737	21.179739	16.948862	17.581831	18.510458	18.677114	17.77907	20.361876	15.04341	17.132298	17.563177	16.59348	18.43401	17.405167	17.479988	19.050276	19.342096	20.046654	18.747408	18.188961	16.583939
