Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P24666|PPAC_HUMAN	NaN	NaN	NaN	2744.4592	2666.9978	4277.461	NaN	NaN	NaN	NaN	NaN	NaN	6754.492	7221.423	8436.818	3229.5884	3936.972	3013.9329	6530.6235	6005.2573	8151.8623
sp|P24752|THIL_HUMAN	104639.93	83405.67	67284.734	81847.64	69192.06	114883.05	24472.129	30861.021	37526.29	69129.766	61727.87	17873.953	88495.19	85087.734	88291.445	149271.52	164209.47	134277.75	106369.125	107262.05	127653.03
sp|P25325|THTM_HUMAN	36106.586	24066.047	23194.059	5108.888	4630.9697	6329.791	35257.113	22598.496	32639.367	4016.2827	4034.2354	3483.859	15516.768	17454.848	15833.33	16032.004	2867.1306	14219.017	23561.12	20789.49	22770.902
sp|P25398|RS12_HUMAN	19316.197	15333.589	12767.749	28720.834	23160.293	40340.75	6366.199	20311.162	25660.686	29957.535	26611.969	16434.076	17939.408	18554.04	22914.844	6224.3574	9523.836	4948.8066	7474.0527	7626.381	10474.396
sp|P25685|DNJB1_HUMAN	4966.822	5303.0117	3004.983	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3338.7983	3167.0342	4525.1943	3780.4429	5347.5557	2127.0437	2825.8994	2303.439	3502.1897
sp|P25705|ATPA_HUMAN	147130.47	168281.7	111737.3	132337.12	160782.4	260356.47	122986.58	80694.51	99033.266	222961.14	171158.66	147716.36	255362.1	281004.47	268941.2	286771.53	278163.28	278584.38	258100.69	265940.56	285321.38
sp|P25786|PSA1_HUMAN	NaN	NaN	NaN	6939.5903	7034.698	12295.753	3527.0293	4346.1084	10059.518	5745.057	4467.3037	2532.7354	7129.384	8020.4077	8399.778	2299.768	3985.9556	1666.1656	14740.275	12426.701	11995.904
sp|P25787|PSA2_HUMAN	23391.049	29385.832	16846.535	NaN	NaN	NaN	8512.51	8142.3125	12935.785	9500.154	9570.303	6934.618	NaN	NaN	NaN	6316.1123	4539.8286	4077.479	NaN	NaN	NaN
sp|P25788|PSA3_HUMAN	14395.624	18906.89	9582.633	10955.567	12859.099	21129.605	11285.818	10941.785	10912.502	8209.387	10364.458	4293.3633	8500.181	9377.244	10814.055	9838.1	14467.985	6068.214	7674.9487	8387.3	7663.141
sp|P25789|PSA4_HUMAN	2779.1343	3891.0442	2441.0544	NaN	NaN	NaN	NaN	NaN	NaN	1247.5476	1451.865	786.7453	1352.947	1798.6879	1817.1277	3837.5952	2788.364	2900.0205	NaN	NaN	NaN
